tanggal,kode_kab_kota,nama_kab_kota,konfirmasi_total,konfirmasi_sembuh,konfirmasi_meninggal,konfirmasi_aktif,konfirmasi_total_daily_growth,konfirmasi_sembuh_daily_growth,konfirmasi_meninggal_daily_growth,konfirmasi_aktif_daily_growth,kota_kab_belum_teridentifikasi,sembuh_unidentified,meninggal_unidentified,id
2020-03-03 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,64
2020-03-03 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,65
2020-03-03 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,66
2020-03-03 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,67
2020-03-03 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,68
2020-03-03 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,69
2020-03-03 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,70
2020-03-03 00:00:00,3214,Kabupaten Purwakarta,0,0,0,0,0,0,0,0,,,,71
2020-03-03 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,72
2020-03-03 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,73
2020-03-03 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,74
2020-03-03 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,75
2020-03-03 00:00:00,3273,Kota Bandung,0,0,0,0,0,0,0,0,,,,76
2020-03-03 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,77
2020-03-03 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,78
2020-03-03 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,79
2020-03-03 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,80
2020-03-03 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,81
2020-03-03 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,82
2020-03-03 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,83
2020-03-03 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,84
2020-03-04 00:00:00,32,jawa barat,,,,,,,,,0,0,0,85
2020-03-04 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,86
2020-03-04 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,87
2020-03-04 00:00:00,3216,Kabupaten Bekasi,1,0,1,0,1,0,0,1,,,,88
2020-03-04 00:00:00,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,89
2020-03-04 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,90
2020-03-04 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,91
2020-03-04 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,92
2020-03-04 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,93
2020-03-04 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,94
2020-03-04 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,95
2020-03-04 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,96
2020-03-04 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,97
2020-03-04 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,98
2020-03-04 00:00:00,3214,Kabupaten Purwakarta,0,0,0,0,0,0,0,0,,,,99
2020-03-04 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,100
2020-03-04 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,101
2020-03-04 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,102
2020-03-04 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,103
2020-03-04 00:00:00,3273,Kota Bandung,1,0,0,1,1,0,0,1,,,,104
2020-03-04 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,105
2020-03-04 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,106
2020-03-04 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,107
2020-03-04 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,108
2020-03-04 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,109
2020-03-04 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,110
2020-03-04 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,111
2020-03-04 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,112
2020-03-05 00:00:00,32,jawa barat,,,,,,,,,0,0,0,113
2020-03-05 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,114
2020-03-05 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,115
2020-03-05 00:00:00,3216,Kabupaten Bekasi,1,0,1,0,0,0,0,0,,,,116
2020-03-05 00:00:00,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,117
2020-03-05 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,118
2020-03-05 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,119
2020-03-05 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,120
2020-03-05 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,121
2020-03-05 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,122
2020-03-05 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,123
2020-03-05 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,124
2020-03-05 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,125
2020-03-05 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,126
2020-03-05 00:00:00,3214,Kabupaten Purwakarta,0,0,0,0,0,0,0,0,,,,127
2020-03-05 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,128
2020-03-05 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,129
2020-03-05 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,130
2020-03-05 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,131
2020-03-05 00:00:00,3273,Kota Bandung,1,0,0,1,0,0,0,0,,,,132
2020-03-05 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,133
2020-03-05 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,134
2020-03-05 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,135
2020-03-05 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,136
2020-03-05 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,137
2020-03-05 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,138
2020-03-05 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,139
2020-03-05 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,140
2020-03-06 00:00:00,32,jawa barat,,,,,,,,,0,0,0,141
2020-03-06 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,142
2020-03-06 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,143
2020-03-06 00:00:00,3216,Kabupaten Bekasi,1,0,1,0,0,0,0,0,,,,144
2020-03-06 00:00:00,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,145
2020-03-06 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,146
2020-03-06 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,147
2020-03-06 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,148
2020-03-06 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,149
2020-03-06 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,150
2020-03-06 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,151
2020-03-06 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,152
2020-03-06 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,153
2020-03-06 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,154
2020-03-06 00:00:00,3214,Kabupaten Purwakarta,0,0,0,0,0,0,0,0,,,,155
2020-03-06 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,156
2020-03-06 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,157
2020-03-06 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,158
2020-03-06 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,159
2020-03-06 00:00:00,3273,Kota Bandung,1,0,0,1,0,0,0,0,,,,160
2020-03-06 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,161
2020-03-06 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,162
2020-03-06 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,163
2020-03-06 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,164
2020-03-06 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,165
2020-03-06 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,166
2020-03-06 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,167
2020-03-06 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,168
2020-03-07 00:00:00,32,jawa barat,,,,,,,,,0,0,0,169
2020-03-07 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,170
2020-03-07 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,171
2020-03-07 00:00:00,3216,Kabupaten Bekasi,1,0,1,0,0,0,0,0,,,,172
2020-03-07 00:00:00,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,173
2020-03-07 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,174
2020-03-07 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,175
2020-03-07 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,176
2020-03-07 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,177
2020-03-07 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,178
2020-03-07 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,179
2020-03-07 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,180
2020-03-07 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,181
2020-03-07 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,182
2020-03-07 00:00:00,3214,Kabupaten Purwakarta,0,0,0,0,0,0,0,0,,,,183
2020-03-07 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,184
2020-03-07 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,185
2020-03-07 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,186
2020-03-07 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,187
2020-03-07 00:00:00,3273,Kota Bandung,1,0,0,1,0,0,0,0,,,,188
2020-03-07 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,189
2020-03-07 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,190
2020-03-07 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,191
2020-03-07 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,192
2020-03-07 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,193
2020-03-07 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,194
2020-03-07 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,195
2020-03-07 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,196
2020-03-08 00:00:00,32,jawa barat,,,,,,,,,0,0,0,197
2020-03-08 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,198
2020-03-08 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,199
2020-03-08 00:00:00,3216,Kabupaten Bekasi,1,0,1,0,0,0,0,0,,,,200
2020-03-08 00:00:00,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,201
2020-03-08 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,202
2020-03-08 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,203
2020-03-08 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,204
2020-03-08 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,205
2020-03-08 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,206
2020-03-08 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,207
2020-03-08 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,208
2020-03-08 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,209
2020-03-08 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,210
2020-03-08 00:00:00,3214,Kabupaten Purwakarta,1,0,0,1,1,0,0,1,,,,211
2020-03-08 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,212
2020-03-08 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,213
2020-03-08 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,214
2020-03-08 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,215
2020-03-08 00:00:00,3273,Kota Bandung,1,0,0,1,0,0,0,0,,,,216
2020-03-08 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,217
2020-03-08 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,218
2020-03-08 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,219
2020-03-08 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,220
2020-03-08 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,221
2020-03-08 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,222
2020-03-08 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,223
2020-03-08 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,224
2020-03-09 00:00:00,32,jawa barat,,,,,,,,,0,0,0,225
2020-03-09 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,226
2020-03-09 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,227
2020-03-09 00:00:00,3216,Kabupaten Bekasi,1,0,1,0,0,0,0,0,,,,228
2020-03-09 00:00:00,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,229
2020-03-09 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,230
2020-03-09 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,231
2020-03-09 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,232
2020-03-09 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,233
2020-03-09 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,234
2020-03-09 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,235
2020-03-09 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,236
2020-03-09 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,237
2020-03-09 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,238
2020-03-09 00:00:00,3214,Kabupaten Purwakarta,1,0,0,1,0,0,0,0,,,,239
2020-03-09 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,240
2020-03-09 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,241
2020-03-09 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,242
2020-03-09 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,243
2020-03-09 00:00:00,3273,Kota Bandung,1,0,0,1,0,0,0,0,,,,244
2020-03-09 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,245
2020-03-09 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,246
2020-03-09 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,247
2020-03-09 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,248
2020-03-09 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,249
2020-03-09 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,250
2020-03-09 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,251
2020-03-09 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,252
2020-03-10 00:00:00,32,jawa barat,,,,,,,,,0,0,0,253
2020-03-10 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,254
2020-03-10 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,255
2020-03-10 00:00:00,3216,Kabupaten Bekasi,1,0,1,0,0,0,0,0,,,,256
2020-03-10 00:00:00,3201,Kabupaten Bogor,1,0,0,1,1,0,0,1,,,,257
2020-03-10 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,258
2020-03-10 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,259
2020-03-10 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,260
2020-03-10 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,261
2020-03-10 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,262
2020-03-10 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,263
2020-03-10 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,264
2020-03-10 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,265
2020-03-10 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,266
2020-03-10 00:00:00,3214,Kabupaten Purwakarta,1,0,0,1,0,0,0,0,,,,267
2020-03-10 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,268
2020-03-10 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,269
2020-03-10 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,270
2020-03-10 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,271
2020-03-10 00:00:00,3273,Kota Bandung,1,0,0,1,0,0,0,0,,,,272
2020-03-10 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,273
2020-03-10 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,274
2020-03-10 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,275
2020-03-10 00:00:00,3277,Kota Cimahi,0,0,0,0,0,0,0,0,,,,276
2020-03-10 00:00:00,3274,Kota Cirebon,0,0,0,0,0,0,0,0,,,,277
2020-03-10 00:00:00,3276,Kota Depok,2,0,0,2,0,0,0,0,,,,278
2020-03-10 00:00:00,3272,Kota Sukabumi,0,0,0,0,0,0,0,0,,,,279
2020-03-10 00:00:00,3278,Kota Tasikmalaya,0,0,0,0,0,0,0,0,,,,280
